id,source_en,target_ar,domain,status,last_edited,translator,notes
050,Compensatory Damages,تعويضات جبر الضرر,Litigation,approved,2024-12-10,S. Wael,
051,Plaintiff,المُدَّعِي,Litigation,approved,2025-01-05,Omar H.,
052,Defendant,المُدَّعَى عليه,Litigation,approved,2025-01-05,Omar H.,
053,Counterclaim,الدعوى المضادة,Litigation,approved,2025-01-05,Omar H.,
054,Affidavit,إفادة خطية مشفوعة بيمين,Litigation,approved,2025-01-20,A. Mahmoud,
056,Subpoena,أمر إحضار,Litigation,approved,2025-02-01,N. Fathi,
057,Power of Attorney,توكيل رسمي,Notary,approved,2025-02-10,S. Wael,
059,Notary Public,كاتب العدل,Notary,approved,2025-02-10,S. Wael,
060,Apostille,تصديق الأبوستيل,Notary,approved,2025-02-25,Omar H.,
061,Legalization,التصديق,Notary,approved,2025-02-25,Omar H.,
062,Bona Fide,بحسن نية,Latin,approved,2025-03-01,A. Mahmoud,latin term
064,Pro Rata,بالتناسب,Latin,approved,2025-03-01,A. Mahmoud,
065,Ultra Vires,تجاوز السلطة,Latin,approved,2025-03-01,A. Mahmoud,
067,Estoppel,الإغلاق الحكمي / سقوط الحق,Common Law,approved,2025-03-15,N. Fathi,
068,Tort,الفعل الضار,Common Law,approved,2025-03-15,N. Fathi,
069,Negligence,الإهمال,Common Law,approved,2025-03-15,N. Fathi,
070,Duty of Care,واجب العناية,Common Law,approved,2025-03-15,N. Fathi,
071,Fiduciary Duty,الواجب الائتماني,Common Law,approved,2025-04-01,S. Wael,
072,Good Faith,حسن النية,Contract,approved,2025-04-01,S. Wael,
073,Good Faith and Fair Dealing,حسن النية والتعامل العادل,Contract,approved,2025-04-01,S. Wael,
074,Material Breach,الإخلال الجوهري,Contract,approved,2025-04-12,Omar H.,
075,Anticipatory Breach,الإخلال الاستباقي,Contract,approved,2025-04-12,Omar H.,
076,Condition Precedent,الشرط الواقف,Contract,approved,2025-04-25,A. Mahmoud,
077,Condition Subsequent,الشرط الفاسخ,Contract,approved,2025-04-25,A. Mahmoud,
078,Cure Period,مهلة التصحيح,Contract,approved,2025-05-01,N. Fathi,
079,Grace Period,فترة السماح,Contract,approved,2025-05-01,N. Fathi,
080,Notice Period,مدة الإخطار,Employment,approved,2025-05-10,S. Wael,
081,Probation Period,فترة الاختبار,Employment,approved,2025-05-10,S. Wael,
082,Non-Compete Clause,شرط عدم المنافسة,Employment,approved,2025-05-10,S. Wael,
083,Garden Leave,إجازة الحديقة,Employment,draft,,S. Wael,untranslatable? review
084,Severance Pay,مكافأة نهاية الخدمة,Employment,approved,2025-05-20,Omar H.,
085,Gross Misconduct,سوء السلوك الجسيم,Employment,approved,2025-05-20,Omar H.,
086,Constructive Dismissal,الفصل التعسفي الضمني,Employment,approved,2025-05-20,Omar H.,
088,Data Processing Agreement,اتفاقية معالجة البيانات,Privacy,approved,2025-06-01,A. Mahmoud,
089,Data Controller,المتحكم في البيانات,Privacy,approved,2025-06-01,A. Mahmoud,
090,Data Processor,معالج البيانات,Privacy,approved,2025-06-01,A. Mahmoud,
091,Personal Data,البيانات الشخصية,Privacy,approved,2025-06-15,N. Fathi,
092,Sensitive Data,بيانات حساسة,privacy,approved,2025-06-15,N. Fathi,
093,Consent,الموافقة,Privacy,approved,2025-06-15,N. Fathi,
094,Opt-in / Opt-out,الاشتراك / إلغاء الاشتراك,Privacy,approved,2025-06-15,N. Fathi,
095,Breach Notification,الإخطار بالاختراق,Privacy,approved,2025-06-30,S. Wael,
096,Retention Period,مدة الاحتفاظ,Privacy,approved,2025-06-30,S. Wael,
097,Data Subject,صاحب البيانات,Privacy,approved,2025-06-30,S. Wael,
098,Right to Erasure,الحق في المحو,Privacy,approved,2025-06-30,S. Wael,
099,Right to be Forgotten,الحق في النسيان,Privacy,approved,2025-06-30,S. Wael,
100,Data Portability,قابلية نقل البيانات,Privacy,pending,2025-07-01,,missing translator
